Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1997:Q1,TopPt1,3492370,422925,243417,179508,3069445,177106,86950,504179,326875,177304,305718,293902,11817,1071761,24386,3092,31515,20576,836233,7930,50662,50087,19816,2612,2569,25090,575,3441708,103419,
1997:Q1,RemainingTop1,5029832,872049,688593,183456,4157783,326689,169048,399665,291118,108548,93139,69686,23453,1553703,60021,27970,239824,202030,1064222,21471,200193,198232,149436,12324,2694,33778,1961,4829639,902073,
1997:Q1,Next9,11484644,2897811,2353957,543855,8586833,952024,273401,421430,287795,133635,95533,57185,38348,1827679,159521,307223,603562,2661415,1210154,74890,844537,839826,651164,111513,3925,73225,4711,10640108,9072663,
1997:Q1,Next40,12955185,5424466,4300329,1124137,7530719,1263062,144414,204266,151481,52785,37126,15461,21665,908416,315181,248717,806586,2755281,691332,156336,2197236,2188047,1665040,447010,12698,63300,9189,10757949,40296088,
1997:Q1,Bottom50,2885412,2003381,1377293,626088,882031,184890,8426,20918,18136,2783,3975,1409,2567,90735,77206,13990,155929,177416,77793,70753,1844216,1841899,1087994,680717,6566,66623,2316,1041196,50381324,
1997:Q2,TopPt1,3699311,417869,247200,170668,3281443,176643,78082,503298,321011,182286,299527,288869,10657,1280709,24312,2559,35331,21913,851065,8003,54375,53830,20579,2822,3021,27408,545,3644936,104168,
1997:Q2,RemainingTop1,5285204,886015,701166,184849,4399189,326208,166657,402296,290697,111599,101653,77956,23697,1750208,60055,30180,262652,211510,1066186,21584,204768,202874,151917,12535,2869,35554,1894,5080436,904587,
1997:Q2,Next9,12011322,2930617,2376538,554079,9080705,950726,272580,426776,287860,138916,105097,67675,37422,2124628,167971,335251,662808,2711541,1247222,76105,873926,869096,667742,116392,4584,80378,4830,11137396,9099382,
1997:Q2,Next40,13334749,5507045,4373308,1133737,7827704,1279422,148742,206139,149104,57035,39266,17559,21707,1020069,323558,257448,908393,2781433,705176,158058,2238198,2228939,1695107,454351,14614,64867,9259,11096550,40416000,
1997:Q2,Bottom50,2934620,2020589,1396956,623632,914031,187730,7983,20343,17289,3054,3802,1290,2512,102893,77923,14134,166490,181127,80542,71064,1855757,1853459,1089242,691938,7083,65196,2297,1078863,50530494,
1997:Q3,TopPt1,3831989,415825,252788,163037,3416164,177275,79704,502788,312977,189811,286968,277495,9474,1402640,24173,2222,38657,23295,870311,8131,57056,56542,21698,3061,1940,29843,514,3774934,104887,
1997:Q3,RemainingTop1,5463878,899342,712809,186534,4564536,327064,172138,405093,288620,116473,114670,90693,23977,1858335,59984,32131,282170,220664,1070491,21797,208665,206836,154736,12831,1329,37939,1829,5255213,907135,
1997:Q3,Next9,12408754,2970294,2403423,566871,9438461,952140,283938,431314,286391,144924,105978,69432,36546,2300498,176306,355305,708311,2758442,1288477,77752,912078,907127,692782,121742,2686,89917,4951,11496677,9125883,
