Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2021:Q1,Silent,20476962,5028730,4263011,765719,15448232,2284841,562972,629095,629095,0,176551,157006,19545,7388548,257567,26761,408499,1627704,1833250,252444,680872,676219,460562,137629,14153,63874,4653,19796090,14182619
2021:Q1,BabyBoom,72768180,17066547,14601143,2465403,55701633,6352814,1540808,1588104,1588104,0,706516,676078,30438,20271608,902067,1408935,4761165,10961552,6612740,595323,4537257,4519532,2882418,946902,137190,553023,17725,68230923,42478561
2021:Q1,GenX,38530408,12125503,10319778,1805724,26404905,3474887,452677,382921,382921,0,182097,162642,19455,8107065,591178,962006,3810630,4296494,3812947,332003,6052871,6040293,4407922,1449764,70452,112154,12578,32477537,34852506
2021:Q1,Millennial,13000235,5840281,4721910,1118371,7159954,1641799,86648,180584,180584,0,37371,28087,9283,1864417,179718,171456,918814,827706,1044957,206485,4836277,4832143,3141504,1598195,46648,45796,4134,8163958,38426793
2021:Q2,Silent,21355738,5296087,4503615,792472,16059651,2262128,553508,602941,583163,19778,174532,155523,19009,7984003,259353,24388,403089,1572849,1973230,249631,676632,672173,463132,136220,14225,58595,4459,20679106,13920512
2021:Q2,BabyBoom,76251421,18373212,15802688,2570525,57878209,6381011,1535178,1533340,1488407,44933,733634,702626,31008,21864086,921607,1413051,4947234,10949512,7001060,598493,4626393,4609033,2905479,989414,132523,581617,17360,71625028,42397477
2021:Q2,GenX,40654943,13029171,11138017,1891155,27625772,3525157,452062,380395,368161,12234,175566,156183,19383,8730761,601511,1010699,4049023,4473281,3893493,333825,6290446,6278307,4569446,1527337,72473,109052,12139,34364497,34903221
2021:Q2,Millennial,14525179,6631358,5392548,1238810,7893822,1693277,88780,185159,184829,330,41693,31092,10601,2201638,182999,186294,1009358,881991,1211180,211452,5213545,5209244,3414635,1697259,46780,50571,4301,9311634,38939532
2021:Q3,Silent,21586433,5429944,4619006,810938,16156488,2249772,534681,616477,574678,41799,175730,157165,18565,8039312,258434,24324,378975,1515435,2113383,249964,663929,659537,460718,130314,15089,53415,4392,20922503,13677922
2021:Q3,BabyBoom,77668936,19128858,16479882,2648976,58540078,6441045,1501374,1590061,1500030,90031,776327,744717,31610,22129766,930673,1383995,4907283,10873310,7397775,608467,4711119,4693767,2956427,998047,131667,607626,17352,72957817,42321383
2021:Q3,GenX,41597216,13578069,11625687,1952382,28019147,3597673,441275,399851,374688,25163,169837,150483,19353,8758898,605667,1049405,4034805,4644341,3977566,339830,6400432,6388364,4647375,1555732,79201,106056,12069,35196784,34958169
2021:Q3,Millennial,15550424,7144101,5819218,1324883,8406323,1759065,89658,193509,193509,0,48488,36583,11904,2347820,188265,200098,1032822,943021,1384279,219299,5361964,5357539,3511214,1741000,50342,54984,4425,10188460,39425878
2021:Q4,Silent,21946662,5465154,4632529,832625,16481508,2275669,547129,525559,525377,182,173830,155692,18137,8393901,257694,25357,373231,1467708,2192518,248913,654578,650216,458802,126254,17612,47549,4361,21292084,13456262
2021:Q4,BabyBoom,79451964,19440734,16706798,2733935,60011231,6644053,1554554,1381430,1381015,414,799816,767667,32150,23156082,939471,1338404,5066940,10878988,7636862,614631,4788393,4770953,2998422,1015869,137268,619393,17440,74663572,42250874
2021:Q4,GenX,42843093,13861537,11843776,2017761,28981556,3768510,462044,353975,353855,119,164126,144808,19318,9133691,609689,1083079,4242731,4822894,3997282,343533,6531144,6519046,4730048,1589212,96243,103543,12097,36311949,35017494
2021:Q4,Millennial,16495436,7416488,6004854,1411634,9078948,1890876,94033,193137,193116,21,52248,39105,13142,2606592,193484,213384,1115376,995528,1498879,225412,5531418,5526883,3627218,1781385,61309,56971,4535,10964019,39884139
2022:Q1,Silent,21725518,5713343,4859562,853781,16012175,2281243,536213,538318,538318,0,182614,165726,16888,7956484,252841,31945,336426,1381374,2267091,247627,646412,641855,460904,120846,18259,41846,4557,21079106,13256946
2022:Q1,BabyBoom,79235210,20644374,17821608,2822766,58590836,6758810,1539324,1452302,1452302,0,887008,855633,31375,22125509,931501,1205633,4838348,10369638,7863247,619515,4932243,4914020,3129631,1019399,135536,629454,18223,74302967,42186544
