Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1990:Q2,age40to54,8036785,3149509,2465853,683656,4887276,674074,106219,263388,199016,64372,55432,37269,18164,653694,135283,183941,385383,1212362,1132943,84557,1321566,1315804,957869,293108,1483,63344,5762,6715219,24696454
1990:Q2,ageunder40,3919761,2175742,1542827,632915,1744018,367895,42353,85101,74468,10633,14239,6590,7649,215937,96364,31863,125274,221226,479343,64423,1441800,1437703,1054505,369117,1443,12639,4097,2477960,35810795
1990:Q3,age70plus,4147326,1291220,1091399,199821,2856106,995279,79259,377000,322093,54907,84229,51260,32969,328557,37815,9969,6735,516629,389158,31476,97875,96268,42066,33687,158,20356,1608,4049451,14016614
1990:Q3,age55to69,8312315,2498054,2006218,491836,5814261,972980,173723,382580,331332,51249,215878,138275,77602,677947,121353,150669,191777,1790650,1072597,64107,509110,504201,354070,108274,510,41347,4909,7803205,19329642
1990:Q3,age40to54,8084500,3199683,2506495,693189,4884816,680503,113174,276688,213855,62833,57753,39716,18037,576759,136434,188277,380550,1251988,1136909,85781,1347543,1341838,983803,293932,622,63481,5705,6736956,24778227
1990:Q3,ageunder40,3899604,2189923,1558615,631308,1709681,369015,45424,84205,72636,11568,14698,7069,7629,177731,96929,31422,123668,221972,479032,65585,1460826,1456777,1067326,376409,628,12414,4049,2438778,35861104
1990:Q4,age70plus,4274635,1298911,1091768,207142,2975724,1011370,82814,396778,330956,65821,98577,62308,36269,373728,38020,10210,6491,526644,398714,32379,93537,91771,37910,33113,176,20572,1766,4181098,14108324
1990:Q4,age55to69,8480970,2492620,1994467,498153,5988350,976469,171545,408979,347024,61955,222125,145348,76778,770783,125954,154505,202887,1808374,1081310,65419,529451,524294,366009,113829,580,43877,5156,7951519,19332656
1990:Q4,age40to54,8260981,3203563,2503632,699931,5057419,694946,116492,301338,230040,71299,61633,43689,17944,630582,137775,196104,398644,1293925,1138967,87013,1370377,1364566,1005376,294079,674,64438,5811,6890604,24879743
1990:Q4,ageunder40,3930704,2190345,1556529,633816,1740359,376245,47154,80270,70249,10021,16400,8823,7577,197119,97502,31619,129174,222959,475240,66677,1481438,1477407,1080517,383371,707,12813,4031,2449266,35905440
1991:Q1,age70plus,4411548,1331953,1113448,218506,3079594,1020226,95965,382941,312718,70223,105292,66173,39120,449451,38248,10179,7383,536530,400994,32385,86200,84491,34379,29740,306,20067,1709,4325347,14197338
1991:Q1,age55to69,8643661,2500026,1999029,500997,6143635,970847,187281,384010,316630,67381,221655,146530,75125,904041,130523,154933,220620,1824828,1078974,65922,539698,534481,376852,111517,1032,45079,5217,8103963,19325357
1991:Q1,age40to54,8415844,3186684,2483618,703065,5229161,701673,129361,299732,226252,73480,64216,46231,17984,706976,139257,201615,424507,1337025,1137120,87680,1383043,1377307,1027452,283481,1144,65231,5736,7032801,25000014
1991:Q1,ageunder40,3973426,2196524,1551307,645216,1776902,376474,52263,81831,72070,9761,16652,9217,7435,226946,98071,31343,136963,223864,465325,67170,1486738,1482763,1091008,377470,1247,13037,3975,2486688,35944001
1991:Q2,age70plus,4437390,1357292,1132338,224954,3080097,1015189,93040,391047,316885,74162,108638,66225,42413,430387,39087,10328,5745,547062,407029,32546,85130,83511,35596,28361,93,19460,1618,4352260,14283725
1991:Q2,age55to69,8674889,2520511,2017094,503418,6154377,948537,172413,396755,324157,72598,218972,145163,73809,910435,135767,157481,223873,1842091,1081525,66529,556162,550916,390912,113594,321,46089,5246,8118726,19308610
1991:Q2,age40to54,8509523,3205346,2497636,707710,5304177,692908,126470,315054,240062,74992,66216,48266,17950,709242,141393,208950,434702,1382450,1138267,88524,1412216,1406579,1059899,280306,330,66044,5637,7097307,25138052
1991:Q2,ageunder40,3958212,2203359,1555744,647615,1754852,363383,51692,80049,70484,9564,16211,8876,7335,222752,98783,31373,139690,224998,458164,67758,1500819,1496905,1104244,379044,379,13238,3914,2457392,35976986
1991:Q3,age70plus,4497275,1360915,1130608,230307,3136360,1017249,94111,391428,323665,67763,118434,73211,45223,460303,38702,10407,5653,557278,410088,32707,90452,88925,39743,27641,77,21464,1527,4406824,14367551
1991:Q3,age55to69,8788222,2542697,2031332,511365,6245526,934504,165124,405933,336766,69166,218616,146916,71700,982479,139480,159122,236030,1857680,1079451,67108,567523,562250,394731,115455,271,51793,5273,8220700,19283281
1991:Q3,age40to54,8696713,3260852,2542359,718492,5435861,693060,127592,325278,257269,68009,69752,51693,18059,750083,142570,215822,455264,1428796,1138210,89434,1436079,1430539,1083872,278714,261,67692,5540,7260633,25292870
1991:Q3,ageunder40,3971298,2209401,1566091,643310,1761897,357269,52506,80623,68100,12523,16933,9787,7147,235887,99182,31283,145494,225976,448406,68339,1495078,1491226,1096157,380689,316,14064,3852,2476220,36004594
1991:Q4,age70plus,4670288,1385368,1148939,236429,3284920,1025753,96811,389800,323587,66214,135320,88402,46918,571649,38961,10526,6176,567620,408915,33388,95457,93990,42580,27563,148,23699,1467,4574831,14448887
1991:Q4,age55to69,9001316,2558103,2045212,512891,6443213,927797,160782,407734,337765,69969,219032,150880,68151,1159124,143909,161164,251550,1872813,1071206,68101,589751,584426,405679,120356,536,57854,5325,8411565,19250234
1991:Q4,age40to54,8927640,3285223,2561635,723588,5642417,701326,130417,334427,269488,64939,74841,56376,18465,849975,144424,223235,480033,1476724,1136240,90775,1472401,1466927,1116457,280556,480,69434,5474,7455238,25463479
1991:Q4,ageunder40,4021827,2219339,1574799,644539,1802488,357371,53888,80867,66780,14088,18980,12190,6790,276616,99734,31255,152419,226976,435132,69248,1509620,1505824,1103164,387105,617,14938,3795,2512207,36027023
1992:Q1,age70plus,4674231,1425818,1181200,244618,3248413,998985,104112,395422,326020,69402,130084,81278,48807,538995,39286,10482,3301,583220,410442,34084,100033,98600,51522,25065,173,21841,1433,4574198,14527800
1992:Q1,age55to69,8996199,2577536,2066475,511061,6418663,880678,164383,418782,343664,75118,210266,145528,64738,1150300,148360,161206,248475,1900653,1066483,69077,590278,584880,411022,116645,648,56565,5397,8405921,19210336
1992:Q1,age40to54,8995234,3291452,2566062,725390,5703782,669212,137874,350443,285030,65413,77003,58154,18849,846313,146444,229269,484721,1533894,1136423,92187,1497543,1492110,1149650,271870,533,70057,5433,7497692,25648893
1992:Q1,ageunder40,3985514,2231943,1580809,651134,1753571,324493,56882,79067,64704,14363,16855,10405,6450,268078,100296,30956,153018,230009,423759,70157,1495175,1491432,1096082,379773,735,14842,3743,2490339,36044472
